question,answer_0,answer_1,answer2
"Voiced by Harry Shearer, what Simpsons character was modeled after Ted Koppel?",The Simpsons character that was possibly based on Ted Koppel is Kent Brockman.  He is a local news anchor in Springfield and is modeled after Ted Koppel. [1],"Apu Nahasapeemapetilon is a recurring character in the American animated television series The Simpsons. He is an Indian immigrant proprietor who runs the Kwik-E-Mart, a popular convenience store in Springfield. [1] He was based on Peter Seller's character in the film The Party. [2]","The Simpsons character Kent Brockman, voiced by Harry Shearer, was modeled after Ted Koppel. Kent Brockman is the main news anchor for the fictional Channel 6 news in Springfield.





"
Alliumphobia is the irrational fear of which plant?,Alliumphobia is the irrational fear of garlic. [1],"Alliumphobia is the fear of garlic [1, 3]. People who suffer from this condition can expect to experience a very high amount of anxiety from merely thinking of garlic, let alone actually seeing it in real life. In fact, their anxiety may be so intense that they may even endure a full blown panic attack as a result of it.  Sometimes, the people suffering from Alliumphobia, which is a Specific phobia, try to avoid not only the exact objects (in this case garlic) or situations that trigger it but sometimes in severe cases the thought of those thing all together.  There have been a lot of cases in which an individual has develop a phobia from garlic where they become fearful of experiencing anxiety itself because it would make them feel very uncomfortable in the moment they are in contact with any of those. [1, 3, 2, 4]","Alliumphobia is the irrational fear of garlic. The term is derived from ""Allium,"" the genus of plants that includes garlic, onions, and other similar vegetables.





"
Heterophobia is the irrational fear of what," Heterophobia is the irrational fear of the opposite sex, coined as Sexophobia [1]. This phobia can be caused by genetics, heredity, negative experiences with the opposite sex, or a combination of these [1].  Symptoms may result from encountering people of the opposite sex, including breathlessness, dizziness, excessive sweating, nausea, dry mouth, feeling sick, shaking, coronary heart palpitations, and anxiety [1].","In modern times, there has been a rise in what is called heterophobia; the irrational fear of, discrimination against, or aversion to heterosexual people. [1][2] The word ""heterophobia"" is a play on the word ""homophobia,"" which describes the fear of homosexual people. [1] Like homophobia, heterophobia is promoted by those who wish to shame or bash heterosexuals, especially men who have sex with women. [2]","Heterophobia is the irrational fear or aversion to heterosexual people or heterosexual relationships. It is a form of prejudice or discrimination against individuals who are heterosexual.





"
"What was the name of Dan Dare's co-pilot, in the comic strip adventures in the Eagle comic?",Frank Hampson [1].,"In the original comic strip, Dan Dare had a co-pilot named Don Watson. [1]","Dan Dare's co-pilot in the comic strip adventures in the Eagle comic was named Digby. His full name is Albert Fitzwilliam Digby, and he is a loyal and dependable companion to Dan Dare.





"
"In 1965, which Christmas song became the first song to be broadcast from space?","On December 16, 1965, ""Jingle Bells"" became the first song to be broadcast from space during NASA's Gemini 6A space flight. [1,2]","On December 16, 1965, Gemini 6 astronauts Tom Stafford and Wally Schirra broadcast the song ""Jingle Bells"" from space in a Christmas-themed prank. [1, 2]","In 1965, the Christmas song ""Jingle Bells"" became the first song to be broadcast from space. Astronauts Tom Stafford and Wally Schirra played it during NASA's Gemini 6A space flight.





"
Which European city has the highest mileage of canals in the world?,,"According to the culturetrip.com, Birmingham beat out Venice in terms of miles of canals. [1]","The European city with the highest mileage of canals in the world is Amsterdam, Netherlands. Amsterdam's extensive network of canals, known as ""grachten,"" spans over 100 kilometers (approximately 62 miles).





"
"""""""There was no possibility of taking a walk that day"""" is the first line of which classic novel?""","Jane Eyre opens with an ominous November day described as ""cold winter wind [having] brought with it clouds so sombre, and a rain so penetrating, that further out-door exercise was now out of the question."" [1, 2] Later in the novel, Jane is locked in the red room, as a child, at Gateshead [2]. She is lonely at Thornfield Hall, before Rochester's arrival [2]. She is then confined to the house she detests. In the breakfast room, Jane observes that to the left were the clear panes of glass, protecting but not separating her from the drear November day. Later in the day, she is confined to the Red Room, after refusing to be bullied and beaten by her cousin John Reed [2].","""There was no possibility of taking a walk that day."" is the first line of ""Moby Dick"" by Herman Melville [1,2].","""There was no possibility of taking a walk that day"" is the first line of the classic novel ""Jane Eyre"" by Charlotte Bront�.





"
The Met Office became part of which government department in July 2011?,"The Met Office became a part of the Department for Business, Energy and Industrial Strategy in July 2011 [1].","The Met Office became part of the Department for Business, Energy and Industrial Strategy in July 2011 [1].","In July 2011, the Met Office became part of the Department for Business, Innovation and Skills (BIS) in the UK government.

"
Name the song and the artist of this 2001 Grammy award winning track: You’re on the road / But you’ve got no destination / You’re in the mud / In the maze of her imagination,"""You're on the road, but you've got no destination; you're in the mud, in the maze of her imagination,"" is part of the song ""Beautiful Day,"" by U2. [1]",,"The song is ""Beautiful Day"" by U2. It won the Grammy Award for Song of the Year in 2001.





"
"The rivers Kennet, Lea, Brent and Pang are all tributaries of which English river?","The River Thames drains into the Atlantic Ocean via the English Channel, and it has five primary tributaries: the River Kennet, the River Lea, the River Brent, the River Pang, and the River Colne [1, 2]. The River Brent and adjacent tributaries the Colne Brook and those downstream such as the River Lea either flowed into this more northern Thames or formed the early course of the present day Thames [1]. The River Brent joins the Thames near Brentford, and the River Pang joins the Thames near Penshurst [1, 2].",,"The rivers Kennet, Lea, Brent, and Pang are all tributaries of the River Thames in England.





"
